Rank,Feature_Group,Baseline_RMSE,Permuted_RMSE,RMSE_Increase,Baseline_MAE,Permuted_MAE,MAE_Increase,Baseline_R2,Permuted_R2,R2_Decrease
1,Target,1.1789039889870734,2.333931868852393,1.1550278798653195,0.8815945982933044,1.7166979312896729,0.8351033329963684,0.8169168829917908,0.2824241518974304,0.5344927310943604
2,Drug Fingerprint,1.1789039889870734,2.062961873444146,0.8840578844570726,0.8815945982933044,1.5252379179000854,0.643643319606781,0.8169168829917908,0.439373254776001,0.3775436282157898
3,Target Pathway,1.1789039889870734,1.643446902335052,0.4645429133479786,0.8815945982933044,1.2493956089019775,0.3678010106086731,0.8169168829917908,0.6442025899887085,0.17271429300308228
4,Proteomics,1.1789039889870734,1.635812440189137,0.4569084512020636,0.8815945982933044,1.23446786403656,0.3528732657432556,0.8169168829917908,0.6475005149841309,0.1694163680076599
5,RNA Expression,1.1789039889870734,1.5121872444570428,0.3332832554699694,0.8815945982933044,1.1325100660324097,0.2509154677391052,0.8169168829917908,0.6987669467926025,0.11814993619918823
6,CNV,1.1789039889870734,1.4113573786630733,0.23245338967599993,0.8815945982933044,1.0539273023605347,0.17233270406723022,0.8169168829917908,0.7375990152359009,0.07931786775588989
7,Mutation,1.1789039889870734,1.330994680931417,0.15209069194434366,0.8815945982933044,0.9940609335899353,0.11246633529663086,0.8169168829917908,0.7666305303573608,0.05028635263442993
