Rank,Feature_Group,Feature_Count,Baseline_RMSE,Permuted_RMSE,RMSE_Increase,Baseline_MAE,Permuted_MAE,MAE_Increase,Baseline_R2,Permuted_R2,R2_Decrease,Baseline_Pearson,Permuted_Pearson,Pearson_Decrease,Baseline_Spearman,Permuted_Spearman,Spearman_Decrease
1,Drug Fingerprint,2048,1.0105972259800486,3.2676779394871427,2.257080713507094,0.7369005084037781,2.4250690937042236,1.6881685853004456,0.865575909614563,-0.4053981304168701,1.270974040031433,0.93050647,0.23056608,0.6999404,0.8977464063529741,0.258916729561745,0.6388296767912292
2,Proteomics,439,1.0105972259800486,1.407870693888087,0.3972734679080383,0.7369005084037781,1.0607913732528687,0.3238908648490906,0.865575909614563,0.7391166090965271,0.1264593005180359,0.93050647,0.8667242,0.063782275,0.8977464063529741,0.8055009719273059,0.09224543442566824
3,Drug Target,186,1.0105972259800486,1.3101617784559771,0.2995645524759285,0.7369005084037781,0.9068560600280762,0.1699555516242981,0.865575909614563,0.7740716338157654,0.09150427579879761,0.93050647,0.88026345,0.05024302,0.8977464063529741,0.8428900297225075,0.05485637663046661
4,Gene Expression / Other,503,1.0105972259800486,1.1553226050960868,0.1447253791160381,0.7369005084037781,0.8546819090843201,0.11778140068054199,0.865575909614563,0.8243179321289062,0.04125797748565674,0.93050647,0.9107961,0.019710362,0.8977464063529741,0.8739152038065192,0.023831202546454877
5,Target Pathway,24,1.0105972259800486,1.130130196725538,0.1195329707454893,0.7369005084037781,0.8420785069465637,0.10517799854278564,0.865575909614563,0.8318960666656494,0.033679842948913574,0.93050647,0.91215837,0.018348098,0.8977464063529741,0.8740968538519999,0.023649552500974225
6,RNA-PPI,441,1.0105972259800486,1.1196513716468899,0.10905414566684124,0.7369005084037781,0.81551593542099,0.07861542701721191,0.865575909614563,0.8349990248680115,0.030576884746551514,0.93050647,0.91593313,0.014573336,0.8977464063529741,0.8809748937437233,0.016771512609250805
7,Mutation,441,1.0105972259800486,1.018735377668978,0.008138151688929396,0.7369005084037781,0.7431848049163818,0.00628429651260376,0.865575909614563,0.863402247428894,0.0021736621856689453,0.93050647,0.92935765,0.0011488199,0.8977464063529741,0.8967059117627425,0.0010404945902315887
8,CNV,439,1.0105972259800486,1.0186414672516657,0.00804424127161707,0.7369005084037781,0.7416936755180359,0.0047931671142578125,0.865575909614563,0.8634274005889893,0.0021485090255737305,0.93050647,0.9294001,0.0011063814,0.8977464063529741,0.8962548650637163,0.0014915412892577695
