feature_family,mean_abs_shap
Drug Fingerprint,3.08427484436663
Gene Expression / Other,1.1207359077642352
Proteomics,0.8334292586750928
Drug Target,0.3214958196748679
Target Pathway,0.23773304214711613
RNA-PPI,0.1631291998135007
CNV,0.01680337058412774
Mutation,0.0010240595038217746
